gene,importance_sum,degree,importance_mean
MAPK3,0.42948377,508,0.0008454404947325939
SRC,0.33642185,316,0.0010646260991881164
UBC,0.30102172,296,0.001016965286957251
RAC1,0.21394958,291,0.0007352219107224769
RELA,0.21230116,271,0.0007833991323449955
CALM1,0.2119411,247,0.0008580611060988083
PIK3R1,0.19794966,454,0.00043601247313789334
PIK3CD,0.19129243,190,0.001006802289109481
ATP1B2,0.16887274,165,0.0010234711748180968
RHOA,0.16644455,209,0.00079638543026299
PPP2R5D,0.16074972,113,0.0014225638809457289
TNF,0.1606286,173,0.0009284890283738947
ATP1B1,0.15838186,166,0.0009541076170392783
FGG,0.14998621,85,0.001764543617472929
GNB4,0.14703035,89,0.0016520264443386807
ADCY5,0.14659314,114,0.001285904724346964
H2BC6,0.14603812,88,0.0016595240343700755
NUP62,0.143532,89,0.0016127190228258626
ADCY1,0.13968799,124,0.0011265160095307134
MAPK8,0.1389078,308,0.00045099936715968243
H2BC3,0.13869673,89,0.0015583902262569812
H2BC13,0.13720582,88,0.0015591570938175375
MAP2K1,0.13267928,336,0.0003948788202944256
HRAS,0.13261984,397,0.00033405501986630916
ITPR1,0.13100828,173,0.0007572733081145093
CYP2C8,0.12762514,89,0.0014339903097474174
UBE2N,0.12714338,82,0.0015505290612941834
NFKB1,0.12683286,286,0.0004434715305174981
PRKACG,0.12664348,187,0.0006772378549218816
CXCL8,0.12286848,92,0.0013355269380237746
PTPN6,0.12227581,78,0.0015676385508133816
PLCG1,0.12150401,233,0.0005214764324892232
NUP85,0.12033037,93,0.0012938749565873096
ROCK2,0.12016384,74,0.0016238357166986207
GNAS,0.117253,132,0.0008882802882880876
SOST,0.11616877,10,0.011616876721382141
BRAF,0.11433237,141,0.0008108678756030738
RPA3,0.113971,75,0.0015196133653322856
PIK3R2,0.112948865,275,0.00041072314435785465
GNB1,0.11172964,156,0.0007162156204382578
PRKCA,0.11130508,260,0.000428096462900822
PIK3CB,0.11098572,235,0.00047227965390428584
H2AZ2,0.107759856,63,0.0017104738998034643
TBK1,0.1071364,65,0.0016482522854438194
GSK3B,0.10669095,213,0.0005008964821206572
MAPK1,0.106518544,522,0.00020405851390169956
PPP3R1,0.10643975,67,0.0015886529390491655
PAK2,0.105978385,98,0.0010814120878978651
