gene,degree,importance_sum,importance_mean,n_nodes
SRC,632,0.5114749,0.0016185914,2
MAPK3,1016,0.47480848,0.0009346624,2
ATP1A4,162,0.3965287,0.002447708,1
PIK3R1,908,0.35673124,0.0007857516,2
RELA,542,0.34119844,0.0012590348,2
UBC,296,0.33542418,0.0011331898,1
RAC1,582,0.29585445,0.001016682,2
HRAS,3176,0.24522118,0.00061768555,8
STAT3,618,0.23289917,0.0011305785,3
MAPK14,572,0.22274067,0.0007788135,2
RHOA,209,0.21653819,0.0010360678,1
CALM1,247,0.21158236,0.00085660873,1
ITPR1,519,0.19927883,0.0011519007,3
PPP2R5D,113,0.19860552,0.001757571,1
JAK2,3738,0.1952974,0.0010971765,21
ATP1B1,166,0.19456404,0.0011720726,1
PIK3CD,190,0.19038616,0.0010020324,1
MAPK8,616,0.18858682,0.0006122949,2
PIK3R2,1100,0.18647595,0.00067809434,4
ADCY1,248,0.18142888,0.0014631362,2
ATP1B2,165,0.17550948,0.0010636938,1
MAP2K1,336,0.17456487,0.0005195383,1
TNF,173,0.17209701,0.0009947805,1
CYCS,396,0.16084199,0.0016246666,4
ADCY7,318,0.16082923,0.0015172568,3
EGFR,615,0.15994577,0.0007802232,3
NUP160,184,0.15734771,0.0017103013,2
CCND1,656,0.15645266,0.0009539797,4
NFKBIA,10200,0.15373679,0.0007686839,51
PIK3CB,470,0.15163717,0.0006452645,2
H2BC6,88,0.15143783,0.0017208845,1
MAPK10,154,0.15123013,0.0009820138,1
GNAS,264,0.14747036,0.0011171997,2
FOS,808,0.14492889,0.0007174697,4
PTPN11,1393,0.14086972,0.00070788804,7
H2BC3,89,0.14080364,0.0015820633,1
H2BC13,88,0.14032257,0.0015945747,1
CYP2C8,89,0.14004655,0.0015735568,1
GSK3B,852,0.14001982,0.00065737,4
PRKACG,187,0.13928917,0.0007448619,1
FGG,85,0.13695584,0.0016112452,1
H2BC11,264,0.13615847,0.0015472554,3
IFNG,2910,0.13498203,0.0013915673,30
BRAF,141,0.13299376,0.0009432181,1
FRS2,160,0.13295573,0.0016619468,2
NUP62,89,0.13267493,0.0014907296,1
CACNA2D2,1290,0.13243046,0.0010265927,10
NFKB1,286,0.1323287,0.00046268778,1
MAP2K4,405,0.13199402,0.0009777335,3
UBE2N,82,0.13171001,0.0016062196,1
PPP2CA,153,0.13100082,0.0008562145,1
TRAF6,322,0.13067162,0.000811625,2
MAPK1,1044,0.13057289,0.00025013962,2
PLCG1,233,0.12981512,0.00055714644,1
IGF1,243,0.12751952,0.001574315,3
GNB4,89,0.12737085,0.0014311331,1
PTPN6,78,0.124572985,0.0015970896,1
RPA3,75,0.12398844,0.0016531792,1
SMARCA4,39,0.12316199,0.0031579996,1
ADCY5,114,0.12131927,0.0010642041,1
IL1B,590,0.118253365,0.0010021471,5
NUP85,93,0.117514685,0.0012635988,1
RAP1B,70,0.11609337,0.0016584767,1
PLCB2,234,0.11542623,0.000986549,2
ROCK2,74,0.11522572,0.0015571043,1
GNAI2,297,0.113963865,0.0011511501,3
MNAT1,67,0.11369816,0.0016969875,1
GRB2,386,0.11343973,0.00029388533,1
CCNH,213,0.11317251,0.0015939791,3
CCNE1,184,0.11185895,0.0012158582,2
FYN,4752,0.10909238,0.0006198431,27
GNB1,156,0.10880496,0.0006974677,1
FGB,158,0.10809079,0.0013682379,2
PPP3R1,67,0.10624474,0.0015857425,1
GGT1,70,0.10406959,0.0014867084,1
ITGB1,625,0.10403045,0.00083224353,5
PPP2R1B,119,0.103262015,0.00086774805,1
CYP4A11,64,0.10324161,0.0016131501,1
CUL1,366,0.10278534,0.0008425028,3
WNT3A,57,0.10252353,0.0017986584,1
TBK1,65,0.10098957,0.0015536858,1
FAS,158,0.100634106,0.0012738495,2
PAK2,98,0.10008974,0.0010213238,1
CYP1A2,136,0.100081235,0.0014717829,2
DRD1,630,0.099714465,0.0011079385,7
H2BC4,178,0.09927584,0.0011154588,2
GNG2,312,0.098603524,0.00094811077,3
RHEB,54,0.09787733,0.0018125431,1
H2AZ2,63,0.09779844,0.0015523562,1
CSNK2B,59,0.09632347,0.0016326011,1
ITPR3,784,0.09572595,0.0008546961,7
MAP2K3,122,0.09530529,0.0007811909,1
CALM3,232,0.09530486,0.0004107968,1
CYP4F3,118,0.09498188,0.0016098623,2
JAG1,58,0.09476344,0.0016338525,1
CDK1,242,0.09467188,0.00078241224,2
KCNJ11,66,0.09419271,0.0014271623,1
CCND3,50,0.09408015,0.001881603,1
FOXO1,276,0.09371414,0.0010186319,3
PEDS1,54,0.093283184,0.0017274664,1
GNAI1,315,0.09315709,0.0008872104,3
GRIN2A,721,0.09266237,0.0008996347,7
ADCY8,1792,0.092632286,0.000827074,16
IFNAR2,94,0.09249075,0.0019678883,2
ABCC8,207,0.09197732,0.0013330047,3
FBXW11,186,0.09138721,0.0014739874,3
PIK3CG,249,0.091172755,0.0010984669,3
IFNA13,55,0.090489075,0.001645256,1
PTEN,1044,0.09048881,0.0007800759,9
ADCY3,216,0.090109155,0.0008343441,2
PRKCA,260,0.08963119,0.00034473537,1
ERBB2,97,0.08849637,0.0009123337,1
POLR2H,80,0.08824948,0.0011031185,1
PPP2R5E,55,0.08762464,0.0015931752,1
PLCB1,178,0.08757388,0.0004919881,1
CSNK2A2,165,0.087113,0.0015838728,3
PLA2G4A,316,0.086862944,0.0010995308,4
VEGFA,300,0.08604691,0.0008604692,3
FGF20,1274,0.08556618,0.00094028766,14
IQGAP1,58,0.085516535,0.001474423,1
CYP3A4,100,0.08474017,0.0008474017,1
KAT5,56,0.08337435,0.0014888278,1
H3-3A,67,0.082531855,0.0012318187,1
YWHAB,190,0.08252497,0.0008686839,2
DVL3,55,0.08247003,0.0014994551,1
CSK,57,0.082306504,0.0014439737,1
IFNA2,52,0.08068846,0.0015517012,1
SLC8A1,1404,0.080455,0.0010314743,18
FGA,164,0.08038211,0.0009802696,2
AGTR1,240,0.08027028,0.00066891906,2
PTGS2,230,0.07949199,0.00069123466,2
YWHAQ,396,0.07914408,0.0011991528,6
LTA4H,124,0.07823947,0.001261927,2
