gene_i,gene_j,pair_importance,n_shared_pathways
ATP1B1,ATP1B2,0.00019998857088843192,149
ARC,ID4,0.0001561009004807492,42
ATP1B1,CALM3,0.0001528487884105375,52
ABCC8,CALM3,0.00014664225325573542,147
ADCY1,ADCY7,0.0001460469543072366,330
H2BC11,H2BC6,0.00014436484285651474,165
ABAT,SLC32A1,0.00014416677257766963,10
ABCC8,KCNJ11,0.0001439986084662929,168
NUP160,NUP62,0.00014219161872141423,116
H2BC11,H2BC3,0.0001411390397956791,165
H2BC11,H2BC13,0.00013422810319130285,165
ATP1B2,CALM3,0.00013211493435106225,52
ITPR1,KCNJ11,0.0001312304821045377,159
ABAT,LIN7A,0.00013009569374844432,2
NUP62,NUP85,0.00012991384141847195,58
H2BC3,H2BC6,0.0001298300406906705,55
CYP2C8,CYP4F3,0.00012968313751793303,96
H2BC11,H2BC4,0.00012852462774219642,330
ATP1B2,CACNA2D2,0.000126371297470393,1020
H2BC13,H2BC6,0.00012459181069601755,55
MAPK3,SRC,0.0001241335364649031,344
NUP160,NUP85,0.00012383956990993927,130
ABAT,SLC6A11,0.0001232889413309568,8
CCNH,MNAT1,0.00012318785374221264,153
ARC,SH3GL3,0.0001228222051330636,6
CYP4F3,CYP4F8,0.00012122862243849595,102
H2AZ2,H2BC6,0.00011984366296058369,38
H2AZ2,H2BC11,0.00011814242731770601,114
FGB,FGG,0.00011755802593487227,108
CYP4F3,GGT1,0.00011446899200606708,92
ATP1B2,KCNJ11,0.00011352073797255002,51
H2BC13,H2BC3,0.00011327589833332041,55
CYP4F2,CYP4F3,0.00011291506480448632,110
H2BC3,H2BC4,0.00011223625166843776,110
CALM3,KCNH2,0.00011139308896395516,147
CYP4A11,CYP4F3,0.00010880284776826343,100
H2AZ2,H2BC13,0.00010848659365514379,38
ATP1B1,CACNA2D2,0.00010798640377493942,1020
CYP2C8,GGT1,0.00010769842280211606,44
CALM3,KCNK1,0.00010596945222910818,196
H2BC4,H2BC6,0.00010520646222983432,110
CYP4F8,GGT1,0.00010461233279370841,45
CYP2C8,CYP4A11,0.0001034321603015087,48
CALM3,KCNJ11,0.00010277777999198953,49
PIK3R1,SRC,9.948758775080255e-05,288
