gene,GenNet_experiment_105,GenNet_experiment_143,GenNet_experiment_144,GenNet_experiment_145,GenNet_experiment_146,mean,std,cv,n_seeds,mean_rank
SRC,0.51402307,0.5087661,0.5004217,0.5114749,0.53100073,0.5131373,0.011218780753916646,0.0218631168576454,5,1.0
MAPK3,0.5017398,0.5061693,0.47636688,0.47480848,0.48056212,0.48792931600000006,0.014862270394609309,0.030459884059537236,5,2.0
PIK3R1,0.3707914,0.34894422,0.34385514,0.35673124,0.33955103,0.351974606,0.012310072212524996,0.03497431917723347,5,3.4
RELA,0.33958325,0.33565187,0.3376003,0.34119844,0.341043,0.339015372,0.002372505062749062,0.0069982226727732634,5,4.0
UBC,0.31638205,0.3129618,0.30102172,0.33542418,0.29839423,0.312836796,0.014755999639452773,0.047168363274800874,5,5.2
RAC1,0.3163796,0.28019273,0.26917726,0.29585445,0.27656674,0.287634156,0.018790910781471718,0.0653292051360956,5,6.2
HRAS,0.2649569,0.24592608,0.23338147,0.24522118,0.2437036,0.246637846,0.01142850161975663,0.04633717738419038,5,8.0
MAPK14,0.26560187,0.24313104,0.21919325,0.22274067,0.24516714,0.23916679400000002,0.018836750324679945,0.07875988973904105,5,8.6
STAT3,0.2293005,0.24306,0.22619121,0.23289917,0.23572533,0.23343524199999996,0.0064757226202772165,0.027740981030949977,5,9.2
PIK3CD,0.3102364,0.18051201,0.19129243,0.19038616,0.24588422,0.22366224399999995,0.05478582394990816,0.24494891480167827,5,12.6
ITPR1,0.22431119,0.19882245,0.20874648,0.19927883,0.20473468,0.20717872599999998,0.010418592054170752,0.05028794343571141,5,11.8
CALM1,0.19941454,0.20980778,0.2119411,0.21158236,0.19551888,0.205652932,0.007641637255701159,0.037157930020181563,5,12.8
ADCY1,0.20108178,0.19017851,0.20637521,0.18142888,0.19920549,0.195653974,0.009866018074224785,0.05042585066135577,5,15.0
PIK3R2,0.21384756,0.18694587,0.18932644,0.18647595,0.19049223,0.19341761000000002,0.0115406719832404,0.05966712122665769,5,16.2
JAK2,0.18881169,0.190454,0.18889111,0.1952974,0.18417709,0.18952625799999998,0.0039904386946637916,0.0210548065306275,5,16.4
MAPK8,0.20007893,0.18802848,0.19230476,0.18858682,0.17126101,0.18805200000000002,0.010547001275782135,0.05608555758929516,5,16.8
ATP1B1,0.21923363,0.19179648,0.15838186,0.19456404,0.17131186,0.18705757399999998,0.02336839170964018,0.12492619897679301,5,17.2
PPP2R5D,0.19929025,0.15522403,0.16074972,0.19860552,0.17342782,0.177459468,0.020697965629437348,0.11663489056237533,5,19.6
ATP1B2,0.1680106,0.17139728,0.16887274,0.17550948,0.20097505,0.17695303,0.013741049635439056,0.07765365552338412,5,19.4
PIK3CB,0.19559225,0.18704143,0.13345784,0.15163717,0.20805433,0.17515660400000002,0.03135711955548023,0.17902333591418695,5,23.4
TNF,0.18076542,0.17963633,0.1606286,0.17209701,0.17953165,0.174531802,0.008502057360308148,0.04871351388618647,5,21.2
ADCY7,0.1656632,0.16993012,0.16580372,0.16082923,0.1725185,0.16694895399999998,0.004481153296449475,0.026841457757497994,5,23.0
MAP2K1,0.19531304,0.15634517,0.13267928,0.17456487,0.16511211,0.164802894,0.023074447287972682,0.140012391335632,5,26.2
EGFR,0.16670094,0.16208269,0.18636823,0.15994577,0.13862683,0.162744892,0.017056281277993156,0.10480378872962204,5,25.2
CYCS,0.15182945,0.1455889,0.14924476,0.16084199,0.15201187,0.151903394,0.005631538476094253,0.03707315766818385,5,28.6
GSK3B,0.1603883,0.15284954,0.14996044,0.14001982,0.15040205,0.15072402999999998,0.007300389714350879,0.048435473191307844,5,29.8
CCND1,0.13903704,0.14213179,0.16216776,0.15645266,0.15355921,0.150669692,0.009775121022379719,0.06487781910631184,5,30.4
